days_since_birth,gender,measurement_type,percentile,value
0,female,height,3,44.5
0,female,height,10,46.0
0,female,height,25,47.4
0,female,height,50,48.8
0,female,height,75,50.0
0,female,height,90,51.1
0,female,height,97,52.0
0,male,height,3,45.2
0,male,height,10,46.7
0,male,height,25,48.1
0,male,height,50,49.4
0,male,height,75,50.7
0,male,height,90,51.7
0,male,height,97,52.7
0,female,weight,10,2.46
0,female,weight,25,2.7
0,female,weight,50,2.95
0,female,weight,75,3.21
0,female,weight,90,3.44
0,female,weight,97,3.66
0,male,weight,3,2.32
0,male,weight,10,2.58
0,male,weight,25,2.8
0,male,weight,75,3.32
0,male,weight,90,3.56
0,male,weight,97,3.82
1,female,height,3,44.6333333333333
1,female,height,10,46.13
1,female,height,25,47.5233333333333
1,female,height,50,48.92
1,female,height,75,50.1233333333333
1,female,height,90,51.22
1,female,height,97,52.1233333333333
1,male,height,3,45.3333333333333
1,male,height,10,46.8333333333333
1,male,height,25,48.23
1,male,height,50,49.5333333333333
1,male,height,75,50.8333333333333
1,male,height,90,51.8366666666667
1,male,height,97,52.8366666666667
1,female,weight,10,2.37
1,female,weight,25,2.61
1,female,weight,50,2.85
1,female,weight,75,3.09
1,female,weight,90,3.32
1,female,weight,97,3.56
1,male,weight,3,2.26
1,male,weight,10,2.49
1,male,weight,25,2.71
1,male,weight,75,3.21
1,male,weight,90,3.45
1,male,weight,97,3.71
2,female,height,3,44.7666666666667
2,female,height,10,46.26
2,female,height,25,47.6466666666667
2,female,height,50,49.04
2,female,height,75,50.2466666666667
2,female,height,90,51.34
2,female,height,97,52.2466666666667
2,male,height,3,45.4666666666667
2,male,height,10,46.9666666666667
2,male,height,25,48.36
2,male,height,50,49.6666666666667
2,male,height,75,50.9666666666667
2,male,height,90,51.9733333333333
2,male,height,97,52.9733333333333
2,female,weight,10,2.33
2,female,weight,25,2.56
2,female,weight,50,2.8
2,female,weight,75,3.05
2,female,weight,90,3.27
2,female,weight,97,3.49
2,male,weight,3,2.21
