days_since_birth,girl_tall_3,girl_tall_10,girl_tall_25,girl_tall_50,girl_tall_75,girl_tall_90,girl_tall_97,boy_tall_3,boy_tall_10,boy_tall_25,boy_tall_50,boy_tall_75,boy_tall_90,boy_tall_97,gw3,girl_weight_10,girl_weight_25,girl_weight_50,girl_weight_75,girl_weight_90,girl_weight_97,boy_weight_3,boy_weight_10,boy_weight_25,bw50,boy_weight_75,boy_weight_90,boy_weight_97
0,44.5,46,47.4,48.8,50,51.1,52,45.2,46.7,48.1,49.4,50.7,51.7,52.7,2.22,2.46,2.7,2.95,3.21,3.44,3.66,2.32,2.58,2.8,3.06,3.32,3.56,3.82
1,44.6333333333333,46.13,47.5233333333333,48.92,50.1233333333333,51.22,52.1233333333333,45.3333333333333,46.8333333333333,48.23,49.5333333333333,50.8333333333333,51.8366666666667,52.8366666666667,2.17,2.37,2.61,2.85,3.09,3.32,3.56,2.26,2.49,2.71,2.96,3.21,3.45,3.71
2,44.7666666666667,46.26,47.6466666666667,49.04,50.2466666666667,51.34,52.2466666666667,45.4666666666667,46.9666666666667,48.36,49.6666666666667,50.9666666666667,51.9733333333333,52.9733333333333,2.12,2.33,2.56,2.8,3.05,3.27,3.49,2.21,2.45,2.67,2.91,3.16,3.4,3.65
3,44.9,46.39,47.77,49.16,50.37,51.46,52.37,45.6,47.1,48.49,49.8,51.1,52.11,53.11,2.13,2.34,2.57,2.81,3.06,3.28,3.51,2.22,2.46,2.68,2.93,3.19,3.43,3.68
4,45.0333333333333,46.52,47.8933333333333,49.28,50.4933333333333,51.58,52.4933333333333,45.7333333333333,47.2333333333333,48.62,49.9333333333333,51.2333333333333,52.2466666666667,53.2466666666667,2.13,2.35,2.57,2.82,3.07,3.3,3.51,2.22,2.48,2.7,2.95,3.21,3.46,3.7
5,45.1666666666667,46.65,48.0166666666667,49.4,50.6166666666667,51.7,52.6166666666667,45.8666666666667,47.3666666666667,48.75,50.0666666666667,51.3666666666667,52.3833333333333,53.3833333333333,2.16538461538462,2.38730769230769,2.60961538461538,2.86192307692308,3.11384615384615,3.34538461538462,3.55730769230769,2.25884615384615,2.52038461538462,2.74307692307692,2.99615384615385,3.25846153846154,3.51,3.75153846153846
6,45.3,46.78,48.14,49.52,50.74,51.82,52.74,46,47.5,48.88,50.2,51.5,52.52,53.52,2.20076923076923,2.42461538461538,2.64923076923077,2.90384615384615,3.15769230769231,3.39076923076923,3.60461538461538,2.29769230769231,2.56076923076923,2.78615384615385,3.04230769230769,3.30692307692308,3.56,3.80307692307692
7,45.4333333333333,46.91,48.2633333333333,49.64,50.8633333333333,51.94,52.8633333333333,46.1333333333333,47.6333333333333,49.01,50.3333333333333,51.6333333333333,52.6566666666667,53.6566666666667,2.23615384615385,2.46192307692308,2.68884615384615,2.94576923076923,3.20153846153846,3.43615384615385,3.65192307692308,2.33653846153846,2.60115384615385,2.82923076923077,3.08846153846154,3.35538461538462,3.61,3.85461538461538
8,45.5666666666667,47.04,48.3866666666667,49.76,50.9866666666667,52.06,52.9866666666667,46.2666666666667,47.7666666666667,49.14,50.4666666666667,51.7666666666667,52.7933333333333,53.7933333333333,2.27153846153846,2.49923076923077,2.72846153846154,2.98769230769231,3.24538461538462,3.48153846153846,3.69923076923077,2.37538461538462,2.64153846153846,2.87230769230769,3.13461538461539,3.40384615384615,3.66,3.90615384615385
9,45.7,47.17,48.51,49.88,51.11,52.18,53.11,46.4,47.9,49.27,50.6,51.9,52.93,53.93,2.30692307692308,2.53653846153846,2.76807692307692,3.02961538461538,3.28923076923077,3.52692307692308,3.74653846153846,2.41423076923077,2.68192307692308,2.91538461538462,3.18076923076923,3.45230769230769,3.71,3.95769230769231
10,45.8333333333333,47.3,48.6333333333333,50,51.2333333333333,52.3,53.2333333333333,46.5333333333333,48.0333333333333,49.4,50.7333333333333,52.0333333333333,53.0666666666667,54.0666666666667,2.34230769230769,2.57384615384615,2.80769230769231,3.07153846153846,3.33307692307692,3.57230769230769,3.79384615384615,2.45307692307692,2.72230769230769,2.95846153846154,3.22692307692308,3.50076923076923,3.76,4.00923076923077
11,45.9666666666667,47.43,48.7566666666667,50.12,51.3566666666667,52.42,53.3566666666667,46.6666666666667,48.1666666666667,49.53,50.8666666666667,52.1666666666667,53.2033333333333,54.2033333333333,2.37769230769231,2.61115384615385,2.84730769230769,3.11346153846154,3.37692307692308,3.61769230769231,3.84115384615385,2.49192307692308,2.76269230769231,3.00153846153846,3.27307692307692,3.54923076923077,3.81,4.06076923076923
12,46.1,47.56,48.88,50.24,51.48,52.54,53.48,46.8,48.3,49.66,51,52.3,53.34,54.34,2.41307692307692,2.64846153846154,2.88692307692308,3.15538461538462,3.42076923076923,3.66307692307692,3.88846153846154,2.53076923076923,2.80307692307692,3.04461538461538,3.31923076923077,3.59769230769231,3.86,4.11230769230769
13,46.2333333333333,47.69,49.0033333333333,50.36,51.6033333333333,52.66,53.6033333333333,46.9333333333333,48.4333333333333,49.79,51.1333333333333,52.4333333333333,53.4766666666667,54.4766666666667,2.44846153846154,2.68576923076923,2.92653846153846,3.19730769230769,3.46461538461538,3.70846153846154,3.93576923076923,2.56961538461538,2.84346153846154,3.08769230769231,3.36538461538462,3.64615384615385,3.91,4.16384615384615
14,46.3666666666667,47.82,49.1266666666667,50.48,51.7266666666667,52.78,53.7266666666667,47.0666666666667,48.5666666666667,49.92,51.2666666666667,52.5666666666667,53.6133333333333,54.6133333333333,2.48384615384615,2.72307692307692,2.96615384615385,3.23923076923077,3.50846153846154,3.75384615384615,3.98307692307692,2.60846153846154,2.88384615384615,3.13076923076923,3.41153846153846,3.69461538461538,3.96,4.21538461538462
